Domain	Problem	Exploration	Estimation	Plan Type	State	Final State	Initial State Average	Initial State Minmax	Final State Average	Final State Minmax	Plan	Plan Cost	Plan Value	Number of States with Same Value	Search Time
benchmarks-deception/depots/p01/domain.pddl	benchmarks-deception/depots/p01/template.pddl	greedy	heuristic	shortest	minimum-covering	['(at truck1 distributor0)', '(at truck0 depot0)', '(clear pallet0)', '(clear pallet1)', '(clear pallet2)', '(clear pallet3)', '(not (available hoist0))', '(not (available hoist1))', '(available hoist2)', '(available hoist3)', '(lifting hoist1 crate0)', '(not (clear crate0))', '(not (clear crate1))', '(lifting hoist0 crate1)', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.75	10.0	1000.0	1000.0	['lift hoist0 crate1 pallet0 depot0 (1)', 'lift hoist1 crate0 pallet1 depot1 (1)']	2	7.625	6	0.198791027069
benchmarks-deception/depots/p02/domain.pddl	benchmarks-deception/depots/p02/template.pddl	greedy	heuristic	shortest	minimum-covering	['(at truck1 distributor1)', '(at truck0 depot1)', '(clear crate2)', '(clear pallet0)', '(clear pallet1)', '(clear pallet2)', '(clear pallet3)', '(not (available hoist0))', '(available hoist2)', '(available hoist3)', '(not (available hoist1))', '(lifting hoist1 crate0)', '(not (clear crate0))', '(not (clear crate1))', '(lifting hoist0 crate1)', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.75	10.0	1000.0	1000.0	['lift hoist0 crate1 pallet1 depot1 (1)', 'lift hoist1 crate0 pallet0 depot0 (1)']	2	7.625	6	0.174302101135
benchmarks-deception/depots/p03/domain.pddl	benchmarks-deception/depots/p03/template.pddl	greedy	heuristic	shortest	minimum-covering	['(at truck1 distributor1)', '(at truck0 depot1)', '(clear crate2)', '(clear pallet0)', '(clear pallet1)', '(clear pallet2)', '(clear pallet3)', '(not (available hoist0))', '(available hoist2)', '(available hoist3)', '(not (available hoist1))', '(lifting hoist1 crate0)', '(not (clear crate0))', '(not (clear crate1))', '(lifting hoist0 crate1)', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.75	10.0	1000.0	1000.0	['lift hoist0 crate1 pallet1 depot1 (1)', 'lift hoist1 crate0 pallet0 depot0 (1)']	2	7.625	6	0.154340982437
benchmarks-deception/depots/p04/domain.pddl	benchmarks-deception/depots/p04/template.pddl	greedy	heuristic	shortest	minimum-covering	['(at truck1 distributor0)', '(at truck0 depot0)', '(clear crate2)', '(clear pallet0)', '(clear pallet1)', '(clear pallet2)', '(clear pallet3)', '(not (available hoist0))', '(available hoist2)', '(available hoist3)', '(not (available hoist1))', '(lifting hoist0 crate0)', '(not (clear crate0))', '(not (clear crate1))', '(lifting hoist1 crate1)', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.75	10.0	1000.0	1000.0	['lift hoist0 crate0 pallet0 depot0 (1)', 'lift hoist1 crate1 pallet1 depot1 (1)']	2	7.625	6	0.145789861679
benchmarks-deception/depots/p05/domain.pddl	benchmarks-deception/depots/p05/template.pddl	greedy	heuristic	shortest	minimum-covering	['(at truck1 distributor0)', '(at truck0 depot0)', '(clear crate2)', '(clear pallet0)', '(clear pallet1)', '(clear pallet2)', '(clear pallet3)', '(not (available hoist0))', '(available hoist2)', '(available hoist3)', '(not (available hoist1))', '(lifting hoist0 crate0)', '(not (clear crate0))', '(not (clear crate1))', '(lifting hoist1 crate1)', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.75	10.0	1000.0	1000.0	['lift hoist0 crate0 pallet0 depot0 (1)', 'lift hoist1 crate1 pallet1 depot1 (1)']	2	7.625	6	0.142655134201
benchmarks-deception/depots/p06/domain.pddl	benchmarks-deception/depots/p06/template.pddl	greedy	heuristic	shortest	minimum-covering	['(at truck1 distributor0)', '(at truck0 depot0)', '(clear pallet0)', '(clear pallet1)', '(clear pallet2)', '(clear pallet3)', '(not (available hoist0))', '(not (available hoist1))', '(available hoist2)', '(available hoist3)', '(lifting hoist1 crate0)', '(not (clear crate0))', '(not (clear crate1))', '(lifting hoist0 crate1)', '(not (achieved7 ))', '(not (achieved6 ))', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.75	10.0	1000.0	1000.0	['lift hoist0 crate1 pallet0 depot0 (1)', 'lift hoist1 crate0 pallet1 depot1 (1)']	2	7.625	6	0.137008190155
benchmarks-deception/depots/p07/domain.pddl	benchmarks-deception/depots/p07/template.pddl	greedy	heuristic	shortest	minimum-covering	['(at truck1 distributor0)', '(at truck0 depot0)', '(clear pallet0)', '(clear pallet1)', '(clear pallet2)', '(clear pallet3)', '(clear pallet4)', '(not (available hoist0))', '(not (available hoist1))', '(available hoist2)', '(available hoist3)', '(lifting hoist1 crate0)', '(not (clear crate0))', '(not (clear crate1))', '(lifting hoist0 crate1)', '(not (achieved5 ))', '(not (achieved4 ))', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	9.16666666667	10.0	1000.0	1000.0	['lift hoist0 crate1 pallet0 depot0 (1)', 'lift hoist1 crate0 pallet1 depot1 (1)']	2	8.22222222222	9	0.153143167496
benchmarks-deception/depots/p08/domain.pddl	benchmarks-deception/depots/p08/template.pddl	greedy	heuristic	shortest	minimum-covering	['(at truck1 distributor0)', '(at truck0 depot1)', '(not (on crate1 pallet5))', '(on crate1 pallet0)', '(on crate1 pallet1)', '(clear pallet2)', '(clear pallet3)', '(clear pallet4)', '(clear pallet5)', '(available hoist0)', '(available hoist1)', '(available hoist2)', '(at crate1 depot1)', '(available hoist3)', '(clear crate0)', '(on crate0 crate1)', '(at crate0 depot1)', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	8.75	10.0	750.0	1000.0	['lift hoist0 crate1 pallet5 depot0 (1)', 'load hoist0 crate1 truck0 depot0 (1)', 'drive truck0 depot0 depot1 (1)', 'lift hoist1 crate0 pallet1 depot1 (1)', 'load hoist1 crate0 truck0 depot1 (1)', 'unload hoist1 crate1 truck0 depot1 (1)', 'drop hoist1 crate1 pallet1 depot1 (1)', 'unload hoist1 crate0 truck0 depot1 (1)', 'drop hoist1 crate0 crate1 depot1 (1)']	9	5.325	54	0.189728021622
benchmarks-deception/depots/p10/domain.pddl	benchmarks-deception/depots/p10/template.pddl	greedy	heuristic	shortest	minimum-covering	['(at truck1 depot1)', '(at truck0 depot0)', '(not (on crate1 pallet5))', '(on crate1 pallet0)', '(clear pallet2)', '(clear pallet3)', '(clear pallet4)', '(available hoist0)', '(not (available hoist1))', '(available hoist2)', '(lifting hoist1 crate1)', '(available hoist3)', '(clear crate0)', '(on crate0 pallet1)', '(at crate0 depot1)', '(not (achieved3 ))', '(not (achieved2 ))', '(not (achieved1 ))', '(not (achieved0 ))']	9.75	10.0	1000.0	1000.0	['drive truck1 distributor0 depot0 (1)', 'lift hoist0 crate1 pallet5 depot0 (1)', 'load hoist0 crate1 truck1 depot0 (1)', 'drive truck1 depot0 depot1 (1)', 'unload hoist1 crate1 truck1 depot1 (1)']	5	8.04166666667	18	0.154414892197
