Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(handempty)', '(clear o)', '(ontable o)', '(clear r)', '(on r p)', '(ontable p)', '(clear e)', '(ontable e)', '(clear d)', '(on d a)', '(on a c)', '(ontable c)', '(clear w)', '(ontable w)']","['(clear d)', '(ontable w)', '(on d r)', '(on r a)', '(on a w)']",-1,0.7563071250915527,8,"[<Op (unstack d a)>, <Op (put-down d)>, <Op (unstack a c)>, <Op (stack a w)>, <Op (unstack r p)>, <Op (stack r a)>, <Op (pick-up d)>, <Op (stack d r)>]"
Baseline Approach,"['(handempty)', '(clear o)', '(ontable o)', '(clear r)', '(on r p)', '(ontable p)', '(clear e)', '(ontable e)', '(clear d)', '(on d a)', '(on a c)', '(ontable c)', '(clear w)', '(ontable w)']","['(clear d)', '(ontable w)', '(on d r)', '(on r a)', '(on a w)']",1.7881393432617188e-05,0.6097419261932373,8,"[<Op (unstack d a)>, <Op (put-down d)>, <Op (unstack a c)>, <Op (stack a w)>, <Op (unstack r p)>, <Op (stack r a)>, <Op (pick-up d)>, <Op (stack d r)>]"
Goal to Real Goal Approach,"['(handempty)', '(clear o)', '(ontable o)', '(clear r)', '(on r p)', '(ontable p)', '(clear e)', '(ontable e)', '(clear d)', '(on d a)', '(on a c)', '(ontable c)', '(clear w)', '(ontable w)']","['(clear d)', '(ontable w)', '(on d r)', '(on r a)', '(on a w)']",0.00011801719665527344,0.1093740463256836,8,"[<Op (unstack d a)>, <Op (put-down d)>, <Op (unstack a c)>, <Op (stack a w)>, <Op (unstack r p)>, <Op (stack r a)>, <Op (pick-up d)>, <Op (stack d r)>]"
Shared Landmark Approach,"['(handempty)', '(clear o)', '(ontable o)', '(clear r)', '(on r p)', '(ontable p)', '(clear e)', '(ontable e)', '(clear d)', '(on d a)', '(on a c)', '(ontable c)', '(clear w)', '(ontable w)']","['(clear d)', '(ontable w)', '(on d r)', '(on r a)', '(on a w)']",0.1275179386138916,0.09250497817993164,16,"[<Op (unstack r p)>, <Op (put-down r)>, <Op (unstack d a)>, <Op (put-down d)>, <Op (unstack a c)>, <Op (put-down a)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (unstack r a)>, <Op (put-down r)>, <Op (pick-up a)>, <Op (stack a w)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (pick-up d)>, <Op (stack d r)>]"
Combined Landmarks Approach,"['(handempty)', '(clear o)', '(ontable o)', '(clear r)', '(on r p)', '(ontable p)', '(clear e)', '(ontable e)', '(clear d)', '(on d a)', '(on a c)', '(ontable c)', '(clear w)', '(ontable w)']","['(clear d)', '(ontable w)', '(on d r)', '(on r a)', '(on a w)']",0.16570305824279785,0.32114481925964355,20,"[<Op (unstack r p)>, <Op (put-down r)>, <Op (unstack d a)>, <Op (put-down d)>, <Op (unstack a c)>, <Op (put-down a)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (unstack r a)>, <Op (put-down r)>, <Op (pick-up a)>, <Op (stack a w)>, <Op (pick-up d)>, <Op (stack d r)>, <Op (unstack d r)>, <Op (put-down d)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (pick-up d)>, <Op (stack d r)>]"
Most Common Landmarks,"['(handempty)', '(clear o)', '(ontable o)', '(clear r)', '(on r p)', '(ontable p)', '(clear e)', '(ontable e)', '(clear d)', '(on d a)', '(on a c)', '(ontable c)', '(clear w)', '(ontable w)']","['(clear d)', '(ontable w)', '(on d r)', '(on r a)', '(on a w)']",0.16454505920410156,0.3273169994354248,22,"[<Op (unstack r p)>, <Op (put-down r)>, <Op (unstack d a)>, <Op (put-down d)>, <Op (unstack a c)>, <Op (put-down a)>, <Op (pick-up d)>, <Op (put-down d)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (unstack r a)>, <Op (put-down r)>, <Op (pick-up a)>, <Op (stack a w)>, <Op (pick-up d)>, <Op (stack d r)>, <Op (unstack d r)>, <Op (put-down d)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (pick-up d)>, <Op (stack d r)>]"
