Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(at apn1 apt2)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos22)', '(at obj23 pos23)']","['(at obj13 pos22)', '(at obj23 pos13)']",-1,0.17992901802062988,20,"[<Op (drive-truck tru2 pos22 pos23 cit2)>, <Op (load-truck obj23 tru2 pos23)>, <Op (drive-truck tru2 pos23 apt2 cit2)>, <Op (unload-truck obj23 tru2 apt2)>, <Op (load-airplane obj23 apn1 apt2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj23 apn1 apt1)>, <Op (load-truck obj23 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos13 cit1)>, <Op (load-truck obj13 tru1 pos13)>, <Op (unload-truck obj23 tru1 pos13)>, <Op (drive-truck tru1 pos13 apt1 cit1)>, <Op (unload-truck obj13 tru1 apt1)>, <Op (load-airplane obj13 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj13 apn1 apt2)>, <Op (load-truck obj13 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos22 cit2)>, <Op (unload-truck obj13 tru2 pos22)>]"
Baseline Approach,"['(at apn1 apt2)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos22)', '(at obj23 pos23)']","['(at obj13 pos22)', '(at obj23 pos13)']",1.3113021850585938e-05,0.19278788566589355,20,"[<Op (drive-truck tru2 pos22 pos23 cit2)>, <Op (load-truck obj23 tru2 pos23)>, <Op (drive-truck tru2 pos23 apt2 cit2)>, <Op (unload-truck obj23 tru2 apt2)>, <Op (load-airplane obj23 apn1 apt2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj23 apn1 apt1)>, <Op (load-truck obj23 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos13 cit1)>, <Op (load-truck obj13 tru1 pos13)>, <Op (unload-truck obj23 tru1 pos13)>, <Op (drive-truck tru1 pos13 apt1 cit1)>, <Op (unload-truck obj13 tru1 apt1)>, <Op (load-airplane obj13 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj13 apn1 apt2)>, <Op (load-truck obj13 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos22 cit2)>, <Op (unload-truck obj13 tru2 pos22)>]"
Goal to Real Goal Approach,"['(at apn1 apt2)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos22)', '(at obj23 pos23)']","['(at obj13 pos22)', '(at obj23 pos13)']",5.91278076171875e-05,0.3357717990875244,23,"[<Op (drive-truck tru2 pos22 pos23 cit2)>, <Op (load-truck obj23 tru2 pos23)>, <Op (drive-truck tru2 pos23 apt2 cit2)>, <Op (unload-truck obj23 tru2 apt2)>, <Op (load-airplane obj23 apn1 apt2)>, <Op (drive-truck tru1 pos11 pos13 cit1)>, <Op (load-truck obj13 tru1 pos13)>, <Op (drive-truck tru1 pos13 apt1 cit1)>, <Op (unload-truck obj13 tru1 apt1)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (load-airplane obj13 apn1 apt1)>, <Op (unload-airplane obj23 apn1 apt1)>, <Op (load-truck obj23 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (unload-truck obj23 tru1 pos11)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj13 apn1 apt2)>, <Op (load-truck obj13 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos22 cit2)>, <Op (unload-truck obj13 tru2 pos22)>, <Op (load-truck obj23 tru1 pos11)>, <Op (drive-truck tru1 pos11 pos13 cit1)>, <Op (unload-truck obj23 tru1 pos13)>]"
Shared Landmark Approach,"['(at apn1 apt2)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos22)', '(at obj23 pos23)']","['(at obj13 pos22)', '(at obj23 pos13)']",0.38661789894104004,0.023983240127563477,24,"[<Op (fly-airplane apn1 apt2 apt1)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru2 apt2 pos23 cit2)>, <Op (drive-truck tru1 apt1 pos13 cit1)>, <Op (load-truck obj23 tru2 pos23)>, <Op (load-truck obj13 tru1 pos13)>, <Op (drive-truck tru1 pos13 apt1 cit1)>, <Op (unload-truck obj13 tru1 apt1)>, <Op (drive-truck tru2 pos23 apt2 cit2)>, <Op (unload-truck obj23 tru2 apt2)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj23 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (load-airplane obj13 apn1 apt1)>, <Op (unload-airplane obj23 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj13 apn1 apt2)>, <Op (load-truck obj23 tru1 apt1)>, <Op (load-truck obj13 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos22 cit2)>, <Op (unload-truck obj13 tru2 pos22)>, <Op (drive-truck tru1 apt1 pos13 cit1)>, <Op (unload-truck obj23 tru1 pos13)>]"
Combined Landmarks Approach,"['(at apn1 apt2)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos22)', '(at obj23 pos23)']","['(at obj13 pos22)', '(at obj23 pos13)']",0.2952249050140381,0.026992082595825195,27,"[<Op (fly-airplane apn1 apt2 apt1)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru2 apt2 pos23 cit2)>, <Op (drive-truck tru1 apt1 pos13 cit1)>, <Op (load-truck obj23 tru2 pos23)>, <Op (load-truck obj13 tru1 pos13)>, <Op (drive-truck tru1 pos13 apt1 cit1)>, <Op (unload-truck obj13 tru1 apt1)>, <Op (drive-truck tru2 pos23 apt2 cit2)>, <Op (unload-truck obj23 tru2 apt2)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj23 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (load-airplane obj13 apn1 apt1)>, <Op (unload-airplane obj23 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj13 apn1 apt2)>, <Op (load-truck obj23 tru1 apt1)>, <Op (load-truck obj13 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos22 cit2)>, <Op (unload-truck obj13 tru2 pos22)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (unload-truck obj23 tru1 pos11)>, <Op (load-truck obj23 tru1 pos11)>, <Op (drive-truck tru1 pos11 pos13 cit1)>, <Op (unload-truck obj23 tru1 pos13)>]"
Most Common Landmarks,"['(at apn1 apt2)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos11)', '(at obj12 pos12)', '(at obj13 pos13)', '(at obj21 pos21)', '(at obj22 pos22)', '(at obj23 pos23)']","['(at obj13 pos22)', '(at obj23 pos13)']",0.45119714736938477,0.024873971939086914,24,"[<Op (fly-airplane apn1 apt2 apt1)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru1 apt1 pos13 cit1)>, <Op (drive-truck tru2 apt2 pos23 cit2)>, <Op (load-truck obj23 tru2 pos23)>, <Op (load-truck obj13 tru1 pos13)>, <Op (drive-truck tru1 pos13 apt1 cit1)>, <Op (unload-truck obj13 tru1 apt1)>, <Op (drive-truck tru2 pos23 apt2 cit2)>, <Op (unload-truck obj23 tru2 apt2)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj23 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (load-airplane obj13 apn1 apt1)>, <Op (unload-airplane obj23 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj13 apn1 apt2)>, <Op (load-truck obj23 tru1 apt1)>, <Op (load-truck obj13 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos22 cit2)>, <Op (unload-truck obj13 tru2 pos22)>, <Op (drive-truck tru1 apt1 pos13 cit1)>, <Op (unload-truck obj23 tru1 pos13)>]"
