Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(at pkg3 loc1)', '(at pkg2 arp1)', '(at pkg4 loc2)', '(at pkg1 arp2)', '(at t loc2)', '(at p arp2)']","['(at pkg2 loc1)', '(at pkg1 arp1)', '(at pkg4 loc2)', '(at pkg3 loc1)']",-1,0.018258094787597656,7,"[<Op (load-airplane pkg1 p arp2)>, <Op (drive-truck t loc2 arp1 cit1)>, <Op (load-truck pkg2 t arp1)>, <Op (drive-truck t arp1 loc1 cit1)>, <Op (unload-truck pkg2 t loc1)>, <Op (fly-airplane p arp2 arp1)>, <Op (unload-airplane pkg1 p arp1)>]"
Baseline Approach,"['(at pkg3 loc1)', '(at pkg2 arp1)', '(at pkg4 loc2)', '(at pkg1 arp2)', '(at t loc2)', '(at p arp2)']","['(at pkg2 loc1)', '(at pkg1 arp1)', '(at pkg4 loc2)', '(at pkg3 loc1)']",4.0531158447265625e-06,0.01925206184387207,7,"[<Op (load-airplane pkg1 p arp2)>, <Op (drive-truck t loc2 arp1 cit1)>, <Op (load-truck pkg2 t arp1)>, <Op (drive-truck t arp1 loc1 cit1)>, <Op (unload-truck pkg2 t loc1)>, <Op (fly-airplane p arp2 arp1)>, <Op (unload-airplane pkg1 p arp1)>]"
Goal to Real Goal Approach,"['(at pkg3 loc1)', '(at pkg2 arp1)', '(at pkg4 loc2)', '(at pkg1 arp2)', '(at t loc2)', '(at p arp2)']","['(at pkg2 loc1)', '(at pkg1 arp1)', '(at pkg4 loc2)', '(at pkg3 loc1)']",1.7881393432617188e-05,0.360321044921875,30,"[<Op (load-truck pkg4 t loc2)>, <Op (load-airplane pkg1 p arp2)>, <Op (drive-truck t loc2 arp1 cit1)>, <Op (unload-truck pkg4 t arp1)>, <Op (fly-airplane p arp2 arp1)>, <Op (load-airplane pkg4 p arp1)>, <Op (unload-airplane pkg1 p arp1)>, <Op (load-truck pkg1 t arp1)>, <Op (drive-truck t arp1 loc1 cit1)>, <Op (load-truck pkg3 t loc1)>, <Op (unload-truck pkg1 t loc1)>, <Op (drive-truck t loc1 loc2 cit1)>, <Op (unload-truck pkg3 t loc2)>, <Op (fly-airplane p arp1 arp2)>, <Op (unload-airplane pkg4 p arp2)>, <Op (load-truck pkg3 t loc2)>, <Op (load-airplane pkg4 p arp2)>, <Op (drive-truck t loc2 loc1 cit1)>, <Op (load-truck pkg1 t loc1)>, <Op (unload-truck pkg3 t loc1)>, <Op (drive-truck t loc1 arp1 cit1)>, <Op (load-truck pkg2 t arp1)>, <Op (unload-truck pkg1 t arp1)>, <Op (fly-airplane p arp2 arp1)>, <Op (unload-airplane pkg4 p arp1)>, <Op (load-truck pkg4 t arp1)>, <Op (drive-truck t arp1 loc1 cit1)>, <Op (unload-truck pkg2 t loc1)>, <Op (drive-truck t loc1 loc2 cit1)>, <Op (unload-truck pkg4 t loc2)>]"
Shared Landmark Approach,"['(at pkg3 loc1)', '(at pkg2 arp1)', '(at pkg4 loc2)', '(at pkg1 arp2)', '(at t loc2)', '(at p arp2)']","['(at pkg2 loc1)', '(at pkg1 arp1)', '(at pkg4 loc2)', '(at pkg3 loc1)']",0.016124963760375977,0.005693197250366211,10,"[<Op (fly-airplane p arp2 arp1)>, <Op (fly-airplane p arp1 arp2)>, <Op (load-airplane pkg1 p arp2)>, <Op (drive-truck t loc2 loc1 cit1)>, <Op (drive-truck t loc1 arp1 cit1)>, <Op (fly-airplane p arp2 arp1)>, <Op (unload-airplane pkg1 p arp1)>, <Op (load-truck pkg2 t arp1)>, <Op (drive-truck t arp1 loc1 cit1)>, <Op (unload-truck pkg2 t loc1)>]"
Combined Landmarks Approach,"['(at pkg3 loc1)', '(at pkg2 arp1)', '(at pkg4 loc2)', '(at pkg1 arp2)', '(at t loc2)', '(at p arp2)']","['(at pkg2 loc1)', '(at pkg1 arp1)', '(at pkg4 loc2)', '(at pkg3 loc1)']",0.06223320960998535,0.10724687576293945,38,"[<Op (fly-airplane p arp2 arp1)>, <Op (fly-airplane p arp1 arp2)>, <Op (load-airplane pkg1 p arp2)>, <Op (drive-truck t loc2 loc1 cit1)>, <Op (drive-truck t loc1 arp1 cit1)>, <Op (fly-airplane p arp2 arp1)>, <Op (unload-airplane pkg1 p arp1)>, <Op (drive-truck t arp1 loc2 cit1)>, <Op (load-truck pkg4 t loc2)>, <Op (drive-truck t loc2 loc1 cit1)>, <Op (load-truck pkg3 t loc1)>, <Op (drive-truck t loc1 arp1 cit1)>, <Op (unload-truck pkg4 t arp1)>, <Op (drive-truck t arp1 loc2 cit1)>, <Op (unload-truck pkg3 t loc2)>, <Op (drive-truck t loc2 arp1 cit1)>, <Op (load-truck pkg1 t arp1)>, <Op (load-airplane pkg4 p arp1)>, <Op (fly-airplane p arp1 arp2)>, <Op (unload-airplane pkg4 p arp2)>, <Op (drive-truck t arp1 loc1 cit1)>, <Op (unload-truck pkg1 t loc1)>, <Op (drive-truck t loc1 arp1 cit1)>, <Op (load-truck pkg2 t arp1)>, <Op (drive-truck t arp1 loc1 cit1)>, <Op (unload-truck pkg2 t loc1)>, <Op (load-truck pkg1 t loc1)>, <Op (load-airplane pkg4 p arp2)>, <Op (drive-truck t loc1 arp1 cit1)>, <Op (unload-truck pkg1 t arp1)>, <Op (fly-airplane p arp2 arp1)>, <Op (unload-airplane pkg4 p arp1)>, <Op (load-truck pkg4 t arp1)>, <Op (drive-truck t arp1 loc2 cit1)>, <Op (load-truck pkg3 t loc2)>, <Op (unload-truck pkg4 t loc2)>, <Op (drive-truck t loc2 loc1 cit1)>, <Op (unload-truck pkg3 t loc1)>]"
Most Common Landmarks,"['(at pkg3 loc1)', '(at pkg2 arp1)', '(at pkg4 loc2)', '(at pkg1 arp2)', '(at t loc2)', '(at p arp2)']","['(at pkg2 loc1)', '(at pkg1 arp1)', '(at pkg4 loc2)', '(at pkg3 loc1)']",0.026738882064819336,0.0035440921783447266,10,"[<Op (fly-airplane p arp2 arp1)>, <Op (fly-airplane p arp1 arp2)>, <Op (load-airplane pkg1 p arp2)>, <Op (drive-truck t loc2 loc1 cit1)>, <Op (drive-truck t loc1 arp1 cit1)>, <Op (fly-airplane p arp2 arp1)>, <Op (unload-airplane pkg1 p arp1)>, <Op (load-truck pkg2 t arp1)>, <Op (drive-truck t arp1 loc1 cit1)>, <Op (unload-truck pkg2 t loc1)>]"
