Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(handempty)', '(clear s)', '(ontable s)', '(clear r)', '(ontable r)', '(clear d)', '(on d b)', '(ontable b)', '(clear e)', '(on e a)', '(ontable a)']","['(ontable d)', '(on e d)', '(on b e)', '(clear b)']",-1,0.0198819637298584,6,"[<Op (unstack d b)>, <Op (put-down d)>, <Op (unstack e a)>, <Op (stack e d)>, <Op (pick-up b)>, <Op (stack b e)>]"
Baseline Approach,"['(handempty)', '(clear s)', '(ontable s)', '(clear r)', '(ontable r)', '(clear d)', '(on d b)', '(ontable b)', '(clear e)', '(on e a)', '(ontable a)']","['(ontable d)', '(on e d)', '(on b e)', '(clear b)']",1.9073486328125e-06,0.025309085845947266,6,"[<Op (unstack d b)>, <Op (put-down d)>, <Op (unstack e a)>, <Op (stack e d)>, <Op (pick-up b)>, <Op (stack b e)>]"
Goal to Real Goal Approach,"['(handempty)', '(clear s)', '(ontable s)', '(clear r)', '(ontable r)', '(clear d)', '(on d b)', '(ontable b)', '(clear e)', '(on e a)', '(ontable a)']","['(ontable d)', '(on e d)', '(on b e)', '(clear b)']",0.00014209747314453125,0.21543097496032715,16,"[<Op (unstack d b)>, <Op (put-down d)>, <Op (unstack e a)>, <Op (put-down e)>, <Op (pick-up a)>, <Op (stack a d)>, <Op (pick-up b)>, <Op (stack b a)>, <Op (unstack b a)>, <Op (put-down b)>, <Op (unstack a d)>, <Op (put-down a)>, <Op (pick-up e)>, <Op (stack e d)>, <Op (pick-up b)>, <Op (stack b e)>]"
Shared Landmark Approach,"['(handempty)', '(clear s)', '(ontable s)', '(clear r)', '(ontable r)', '(clear d)', '(on d b)', '(ontable b)', '(clear e)', '(on e a)', '(ontable a)']","['(ontable d)', '(on e d)', '(on b e)', '(clear b)']",0.03493309020996094,0.03603982925415039,8,"[<Op (unstack d b)>, <Op (put-down d)>, <Op (pick-up b)>, <Op (put-down b)>, <Op (unstack e a)>, <Op (stack e d)>, <Op (pick-up b)>, <Op (stack b e)>]"
Combined Landmarks Approach,"['(handempty)', '(clear s)', '(ontable s)', '(clear r)', '(ontable r)', '(clear d)', '(on d b)', '(ontable b)', '(clear e)', '(on e a)', '(ontable a)']","['(ontable d)', '(on e d)', '(on b e)', '(clear b)']",0.13567018508911133,0.0845649242401123,20,"[<Op (unstack d b)>, <Op (put-down d)>, <Op (pick-up b)>, <Op (put-down b)>, <Op (unstack e a)>, <Op (put-down e)>, <Op (pick-up a)>, <Op (stack a d)>, <Op (pick-up b)>, <Op (stack b a)>, <Op (pick-up e)>, <Op (put-down e)>, <Op (unstack b a)>, <Op (put-down b)>, <Op (unstack a d)>, <Op (put-down a)>, <Op (pick-up e)>, <Op (stack e d)>, <Op (pick-up b)>, <Op (stack b e)>]"
Most Common Landmarks,"['(handempty)', '(clear s)', '(ontable s)', '(clear r)', '(ontable r)', '(clear d)', '(on d b)', '(ontable b)', '(clear e)', '(on e a)', '(ontable a)']","['(ontable d)', '(on e d)', '(on b e)', '(clear b)']",0.07087206840515137,0.03644919395446777,6,"[<Op (unstack d b)>, <Op (put-down d)>, <Op (unstack e a)>, <Op (stack e d)>, <Op (pick-up b)>, <Op (stack b e)>]"
