Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(handempty)', '(clear m)', '(on m o)', '(ontable o)', '(clear e)', '(ontable e)', '(clear t)', '(on t w)', '(ontable w)', '(clear h)', '(ontable h)', '(clear r)', '(on r a)', '(ontable a)']","['(clear m)', '(ontable r)', '(on m o)', '(on o t)', '(on t h)', '(on h e)', '(on e r)']",-1,21.68090295791626,14,"[<Op (unstack m o)>, <Op (put-down m)>, <Op (unstack r a)>, <Op (put-down r)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up h)>, <Op (stack h e)>, <Op (unstack t w)>, <Op (stack t h)>, <Op (pick-up o)>, <Op (stack o t)>, <Op (pick-up m)>, <Op (stack m o)>]"
Baseline Approach,"['(handempty)', '(clear m)', '(on m o)', '(ontable o)', '(clear e)', '(ontable e)', '(clear t)', '(on t w)', '(ontable w)', '(clear h)', '(ontable h)', '(clear r)', '(on r a)', '(ontable a)']","['(clear m)', '(ontable r)', '(on m o)', '(on o t)', '(on t h)', '(on h e)', '(on e r)']",1.9073486328125e-06,21.620343923568726,14,"[<Op (unstack m o)>, <Op (put-down m)>, <Op (unstack r a)>, <Op (put-down r)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up h)>, <Op (stack h e)>, <Op (unstack t w)>, <Op (stack t h)>, <Op (pick-up o)>, <Op (stack o t)>, <Op (pick-up m)>, <Op (stack m o)>]"
Goal to Real Goal Approach,"['(handempty)', '(clear m)', '(on m o)', '(ontable o)', '(clear e)', '(ontable e)', '(clear t)', '(on t w)', '(ontable w)', '(clear h)', '(ontable h)', '(clear r)', '(on r a)', '(ontable a)']","['(clear m)', '(ontable r)', '(on m o)', '(on o t)', '(on t h)', '(on h e)', '(on e r)']",7.295608520507812e-05,10.53561806678772,14,"[<Op (unstack m o)>, <Op (put-down m)>, <Op (unstack r a)>, <Op (put-down r)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up h)>, <Op (stack h e)>, <Op (unstack t w)>, <Op (stack t h)>, <Op (pick-up o)>, <Op (stack o t)>, <Op (pick-up m)>, <Op (stack m o)>]"
Shared Landmark Approach,"['(handempty)', '(clear m)', '(on m o)', '(ontable o)', '(clear e)', '(ontable e)', '(clear t)', '(on t w)', '(ontable w)', '(clear h)', '(ontable h)', '(clear r)', '(on r a)', '(ontable a)']","['(clear m)', '(ontable r)', '(on m o)', '(on o t)', '(on t h)', '(on h e)', '(on e r)']",0.18616819381713867,5.539126634597778,30,"[<Op (unstack m o)>, <Op (put-down m)>, <Op (unstack r a)>, <Op (put-down r)>, <Op (unstack t w)>, <Op (put-down t)>, <Op (pick-up e)>, <Op (put-down e)>, <Op (pick-up h)>, <Op (stack h e)>, <Op (pick-up t)>, <Op (stack t h)>, <Op (unstack t h)>, <Op (put-down t)>, <Op (unstack h e)>, <Op (put-down h)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up o)>, <Op (stack o t)>, <Op (pick-up h)>, <Op (stack h e)>, <Op (unstack o t)>, <Op (put-down o)>, <Op (pick-up t)>, <Op (stack t h)>, <Op (pick-up o)>, <Op (stack o t)>, <Op (pick-up m)>, <Op (stack m o)>]"
Combined Landmarks Approach,"['(handempty)', '(clear m)', '(on m o)', '(ontable o)', '(clear e)', '(ontable e)', '(clear t)', '(on t w)', '(ontable w)', '(clear h)', '(ontable h)', '(clear r)', '(on r a)', '(ontable a)']","['(clear m)', '(ontable r)', '(on m o)', '(on o t)', '(on t h)', '(on h e)', '(on e r)']",0.1882762908935547,5.536368131637573,30,"[<Op (unstack m o)>, <Op (put-down m)>, <Op (unstack r a)>, <Op (put-down r)>, <Op (unstack t w)>, <Op (put-down t)>, <Op (pick-up e)>, <Op (put-down e)>, <Op (pick-up h)>, <Op (stack h e)>, <Op (pick-up t)>, <Op (stack t h)>, <Op (unstack t h)>, <Op (put-down t)>, <Op (unstack h e)>, <Op (put-down h)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up o)>, <Op (stack o t)>, <Op (pick-up h)>, <Op (stack h e)>, <Op (unstack o t)>, <Op (put-down o)>, <Op (pick-up t)>, <Op (stack t h)>, <Op (pick-up o)>, <Op (stack o t)>, <Op (pick-up m)>, <Op (stack m o)>]"
Most Common Landmarks,"['(handempty)', '(clear m)', '(on m o)', '(ontable o)', '(clear e)', '(ontable e)', '(clear t)', '(on t w)', '(ontable w)', '(clear h)', '(ontable h)', '(clear r)', '(on r a)', '(ontable a)']","['(clear m)', '(ontable r)', '(on m o)', '(on o t)', '(on t h)', '(on h e)', '(on e r)']",0.1876060962677002,0.16842293739318848,20,"[<Op (unstack m o)>, <Op (put-down m)>, <Op (pick-up o)>, <Op (put-down o)>, <Op (unstack r a)>, <Op (put-down r)>, <Op (unstack t w)>, <Op (put-down t)>, <Op (pick-up h)>, <Op (put-down h)>, <Op (pick-up e)>, <Op (stack e r)>, <Op (pick-up h)>, <Op (stack h e)>, <Op (pick-up t)>, <Op (stack t h)>, <Op (pick-up o)>, <Op (stack o t)>, <Op (pick-up m)>, <Op (stack m o)>]"
