Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(at box0 f1-4f)', '(at box1 f6-2f)', '(clear f0-0f)', '(clear f0-1f)', '(clear f0-2f)', '(clear f0-3f)', '(clear f0-4f)', '(clear f0-5f)', '(clear f0-6f)', '(clear f0-7f)', '(clear f0-8f)', '(clear f1-0f)', '(clear f1-1f)', '(clear f1-2f)', '(clear f1-3f)', '(clear f1-5f)', '(clear f1-6f)', '(clear f1-7f)', '(clear f1-8f)', '(clear f2-0f)', '(clear f2-1f)', '(clear f2-2f)', '(clear f2-3f)', '(clear f2-4f)', '(clear f2-5f)', '(clear f2-6f)', '(clear f2-7f)', '(clear f2-8f)', '(clear f3-0f)', '(clear f3-1f)', '(clear f3-2f)', '(clear f3-3f)', '(clear f3-4f)', '(clear f3-5f)', '(clear f3-6f)', '(clear f3-7f)', '(clear f3-8f)', '(clear f4-0f)', '(clear f4-2f)', '(clear f4-4f)', '(clear f4-6f)', '(clear f4-7f)', '(clear f4-8f)', '(clear f5-0f)', '(clear f5-1f)', '(clear f5-2f)', '(clear f5-3f)', '(clear f5-4f)', '(clear f5-5f)', '(clear f5-6f)', '(clear f5-7f)', '(clear f5-8f)', '(at-robot f6-0f)', '(clear f6-0f)', '(clear f6-1f)', '(clear f6-3f)', '(clear f6-4f)', '(clear f6-5f)', '(clear f6-6f)', '(clear f6-7f)', '(clear f6-8f)', '(clear f7-0f)', '(clear f7-1f)', '(clear f7-2f)', '(clear f7-3f)', '(clear f7-4f)', '(clear f7-5f)', '(clear f7-6f)', '(clear f7-8f)', '(clear f8-0f)', '(clear f8-1f)', '(clear f8-2f)', '(clear f8-3f)', '(clear f8-5f)', '(clear f8-6f)', '(clear f8-8f)']","['(at box0 f6-3f)', '(at box1 f5-7f)']",-1,115.27351689338684,26,"[<Op (move f6-0f f6-1f right)>, <Op (move f6-1f f7-1f down)>, <Op (move f7-1f f7-2f right)>, <Op (push f7-2f f6-2f f5-2f up box1)>, <Op (move f6-2f f6-1f left)>, <Op (move f6-1f f5-1f up)>, <Op (push f5-1f f5-2f f5-3f right box1)>, <Op (push f5-2f f5-3f f5-4f right box1)>, <Op (push f5-3f f5-4f f5-5f right box1)>, <Op (move f5-4f f4-4f up)>, <Op (move f4-4f f3-4f up)>, <Op (move f3-4f f2-4f up)>, <Op (move f2-4f f2-3f left)>, <Op (move f2-3f f1-3f up)>, <Op (move f1-3f f0-3f up)>, <Op (move f0-3f f0-4f right)>, <Op (push f0-4f f1-4f f2-4f down box0)>, <Op (push f1-4f f2-4f f3-4f down box0)>, <Op (push f2-4f f3-4f f4-4f down box0)>, <Op (push f3-4f f4-4f f5-4f down box0)>, <Op (push f4-4f f5-4f f6-4f down box0)>, <Op (push f5-4f f5-5f f5-6f right box1)>, <Op (push f5-5f f5-6f f5-7f right box1)>, <Op (move f5-6f f5-5f left)>, <Op (move f5-5f f6-5f down)>, <Op (push f6-5f f6-4f f6-3f left box0)>]"
Baseline Approach,"['(at box0 f1-4f)', '(at box1 f6-2f)', '(clear f0-0f)', '(clear f0-1f)', '(clear f0-2f)', '(clear f0-3f)', '(clear f0-4f)', '(clear f0-5f)', '(clear f0-6f)', '(clear f0-7f)', '(clear f0-8f)', '(clear f1-0f)', '(clear f1-1f)', '(clear f1-2f)', '(clear f1-3f)', '(clear f1-5f)', '(clear f1-6f)', '(clear f1-7f)', '(clear f1-8f)', '(clear f2-0f)', '(clear f2-1f)', '(clear f2-2f)', '(clear f2-3f)', '(clear f2-4f)', '(clear f2-5f)', '(clear f2-6f)', '(clear f2-7f)', '(clear f2-8f)', '(clear f3-0f)', '(clear f3-1f)', '(clear f3-2f)', '(clear f3-3f)', '(clear f3-4f)', '(clear f3-5f)', '(clear f3-6f)', '(clear f3-7f)', '(clear f3-8f)', '(clear f4-0f)', '(clear f4-2f)', '(clear f4-4f)', '(clear f4-6f)', '(clear f4-7f)', '(clear f4-8f)', '(clear f5-0f)', '(clear f5-1f)', '(clear f5-2f)', '(clear f5-3f)', '(clear f5-4f)', '(clear f5-5f)', '(clear f5-6f)', '(clear f5-7f)', '(clear f5-8f)', '(at-robot f6-0f)', '(clear f6-0f)', '(clear f6-1f)', '(clear f6-3f)', '(clear f6-4f)', '(clear f6-5f)', '(clear f6-6f)', '(clear f6-7f)', '(clear f6-8f)', '(clear f7-0f)', '(clear f7-1f)', '(clear f7-2f)', '(clear f7-3f)', '(clear f7-4f)', '(clear f7-5f)', '(clear f7-6f)', '(clear f7-8f)', '(clear f8-0f)', '(clear f8-1f)', '(clear f8-2f)', '(clear f8-3f)', '(clear f8-5f)', '(clear f8-6f)', '(clear f8-8f)']","['(at box0 f6-3f)', '(at box1 f5-7f)']",3.0040740966796875e-05,133.37743520736694,26,"[<Op (move f6-0f f6-1f right)>, <Op (move f6-1f f7-1f down)>, <Op (move f7-1f f7-2f right)>, <Op (push f7-2f f6-2f f5-2f up box1)>, <Op (move f6-2f f6-1f left)>, <Op (move f6-1f f5-1f up)>, <Op (push f5-1f f5-2f f5-3f right box1)>, <Op (push f5-2f f5-3f f5-4f right box1)>, <Op (push f5-3f f5-4f f5-5f right box1)>, <Op (move f5-4f f4-4f up)>, <Op (move f4-4f f3-4f up)>, <Op (move f3-4f f2-4f up)>, <Op (move f2-4f f2-3f left)>, <Op (move f2-3f f1-3f up)>, <Op (move f1-3f f0-3f up)>, <Op (move f0-3f f0-4f right)>, <Op (push f0-4f f1-4f f2-4f down box0)>, <Op (push f1-4f f2-4f f3-4f down box0)>, <Op (push f2-4f f3-4f f4-4f down box0)>, <Op (push f3-4f f4-4f f5-4f down box0)>, <Op (push f4-4f f5-4f f6-4f down box0)>, <Op (push f5-4f f5-5f f5-6f right box1)>, <Op (push f5-5f f5-6f f5-7f right box1)>, <Op (move f5-6f f5-5f left)>, <Op (move f5-5f f6-5f down)>, <Op (push f6-5f f6-4f f6-3f left box0)>]"
Goal to Real Goal Approach,"['(at box0 f1-4f)', '(at box1 f6-2f)', '(clear f0-0f)', '(clear f0-1f)', '(clear f0-2f)', '(clear f0-3f)', '(clear f0-4f)', '(clear f0-5f)', '(clear f0-6f)', '(clear f0-7f)', '(clear f0-8f)', '(clear f1-0f)', '(clear f1-1f)', '(clear f1-2f)', '(clear f1-3f)', '(clear f1-5f)', '(clear f1-6f)', '(clear f1-7f)', '(clear f1-8f)', '(clear f2-0f)', '(clear f2-1f)', '(clear f2-2f)', '(clear f2-3f)', '(clear f2-4f)', '(clear f2-5f)', '(clear f2-6f)', '(clear f2-7f)', '(clear f2-8f)', '(clear f3-0f)', '(clear f3-1f)', '(clear f3-2f)', '(clear f3-3f)', '(clear f3-4f)', '(clear f3-5f)', '(clear f3-6f)', '(clear f3-7f)', '(clear f3-8f)', '(clear f4-0f)', '(clear f4-2f)', '(clear f4-4f)', '(clear f4-6f)', '(clear f4-7f)', '(clear f4-8f)', '(clear f5-0f)', '(clear f5-1f)', '(clear f5-2f)', '(clear f5-3f)', '(clear f5-4f)', '(clear f5-5f)', '(clear f5-6f)', '(clear f5-7f)', '(clear f5-8f)', '(at-robot f6-0f)', '(clear f6-0f)', '(clear f6-1f)', '(clear f6-3f)', '(clear f6-4f)', '(clear f6-5f)', '(clear f6-6f)', '(clear f6-7f)', '(clear f6-8f)', '(clear f7-0f)', '(clear f7-1f)', '(clear f7-2f)', '(clear f7-3f)', '(clear f7-4f)', '(clear f7-5f)', '(clear f7-6f)', '(clear f7-8f)', '(clear f8-0f)', '(clear f8-1f)', '(clear f8-2f)', '(clear f8-3f)', '(clear f8-5f)', '(clear f8-6f)', '(clear f8-8f)']","['(at box0 f6-3f)', '(at box1 f5-7f)']",4.673004150390625e-05,152.28408813476562,41,"[<Op (move f6-0f f6-1f right)>, <Op (push f6-1f f6-2f f6-3f right box1)>, <Op (push f6-2f f6-3f f6-4f right box1)>, <Op (move f6-3f f7-3f down)>, <Op (move f7-3f f7-4f right)>, <Op (push f7-4f f6-4f f5-4f up box1)>, <Op (push f6-4f f5-4f f4-4f up box1)>, <Op (move f5-4f f5-5f right)>, <Op (move f5-5f f5-6f right)>, <Op (move f5-6f f4-6f up)>, <Op (move f4-6f f3-6f up)>, <Op (move f3-6f f2-6f up)>, <Op (move f2-6f f1-6f up)>, <Op (move f1-6f f1-5f left)>, <Op (push f1-5f f1-4f f1-3f left box0)>, <Op (push f1-4f f1-3f f1-2f left box0)>, <Op (move f1-3f f0-3f up)>, <Op (move f0-3f f0-2f left)>, <Op (push f0-2f f1-2f f2-2f down box0)>, <Op (push f1-2f f2-2f f3-2f down box0)>, <Op (push f2-2f f3-2f f4-2f down box0)>, <Op (push f3-2f f4-2f f5-2f down box0)>, <Op (push f4-2f f5-2f f6-2f down box0)>, <Op (move f5-2f f5-1f left)>, <Op (move f5-1f f6-1f down)>, <Op (push f6-1f f6-2f f6-3f right box0)>, <Op (move f6-2f f5-2f up)>, <Op (move f5-2f f4-2f up)>, <Op (move f4-2f f3-2f up)>, <Op (move f3-2f f3-3f right)>, <Op (move f3-3f f3-4f right)>, <Op (push f3-4f f4-4f f5-4f down box1)>, <Op (move f4-4f f3-4f up)>, <Op (move f3-4f f3-3f left)>, <Op (move f3-3f f3-2f left)>, <Op (move f3-2f f4-2f down)>, <Op (move f4-2f f5-2f down)>, <Op (move f5-2f f5-3f right)>, <Op (push f5-3f f5-4f f5-5f right box1)>, <Op (push f5-4f f5-5f f5-6f right box1)>, <Op (push f5-5f f5-6f f5-7f right box1)>]"
Shared Landmark Approach,"['(at box0 f1-4f)', '(at box1 f6-2f)', '(clear f0-0f)', '(clear f0-1f)', '(clear f0-2f)', '(clear f0-3f)', '(clear f0-4f)', '(clear f0-5f)', '(clear f0-6f)', '(clear f0-7f)', '(clear f0-8f)', '(clear f1-0f)', '(clear f1-1f)', '(clear f1-2f)', '(clear f1-3f)', '(clear f1-5f)', '(clear f1-6f)', '(clear f1-7f)', '(clear f1-8f)', '(clear f2-0f)', '(clear f2-1f)', '(clear f2-2f)', '(clear f2-3f)', '(clear f2-4f)', '(clear f2-5f)', '(clear f2-6f)', '(clear f2-7f)', '(clear f2-8f)', '(clear f3-0f)', '(clear f3-1f)', '(clear f3-2f)', '(clear f3-3f)', '(clear f3-4f)', '(clear f3-5f)', '(clear f3-6f)', '(clear f3-7f)', '(clear f3-8f)', '(clear f4-0f)', '(clear f4-2f)', '(clear f4-4f)', '(clear f4-6f)', '(clear f4-7f)', '(clear f4-8f)', '(clear f5-0f)', '(clear f5-1f)', '(clear f5-2f)', '(clear f5-3f)', '(clear f5-4f)', '(clear f5-5f)', '(clear f5-6f)', '(clear f5-7f)', '(clear f5-8f)', '(at-robot f6-0f)', '(clear f6-0f)', '(clear f6-1f)', '(clear f6-3f)', '(clear f6-4f)', '(clear f6-5f)', '(clear f6-6f)', '(clear f6-7f)', '(clear f6-8f)', '(clear f7-0f)', '(clear f7-1f)', '(clear f7-2f)', '(clear f7-3f)', '(clear f7-4f)', '(clear f7-5f)', '(clear f7-6f)', '(clear f7-8f)', '(clear f8-0f)', '(clear f8-1f)', '(clear f8-2f)', '(clear f8-3f)', '(clear f8-5f)', '(clear f8-6f)', '(clear f8-8f)']","['(at box0 f6-3f)', '(at box1 f5-7f)']",18.940481662750244,47.20113515853882,29,"[<Op (move f6-0f f5-0f up)>, <Op (move f5-0f f4-0f up)>, <Op (move f4-0f f3-0f up)>, <Op (move f3-0f f2-0f up)>, <Op (move f2-0f f1-0f up)>, <Op (move f1-0f f0-0f up)>, <Op (move f0-0f f0-1f right)>, <Op (move f0-1f f0-2f right)>, <Op (move f0-2f f0-3f right)>, <Op (move f0-3f f0-4f right)>, <Op (push f0-4f f1-4f f2-4f down box0)>, <Op (push f1-4f f2-4f f3-4f down box0)>, <Op (push f2-4f f3-4f f4-4f down box0)>, <Op (push f3-4f f4-4f f5-4f down box0)>, <Op (push f4-4f f5-4f f6-4f down box0)>, <Op (move f5-4f f5-5f right)>, <Op (move f5-5f f6-5f down)>, <Op (push f6-5f f6-4f f6-3f left box0)>, <Op (move f6-4f f7-4f down)>, <Op (move f7-4f f7-3f left)>, <Op (move f7-3f f7-2f left)>, <Op (push f7-2f f6-2f f5-2f up box1)>, <Op (move f6-2f f6-1f left)>, <Op (move f6-1f f5-1f up)>, <Op (push f5-1f f5-2f f5-3f right box1)>, <Op (push f5-2f f5-3f f5-4f right box1)>, <Op (push f5-3f f5-4f f5-5f right box1)>, <Op (push f5-4f f5-5f f5-6f right box1)>, <Op (push f5-5f f5-6f f5-7f right box1)>]"
Combined Landmarks Approach,"['(at box0 f1-4f)', '(at box1 f6-2f)', '(clear f0-0f)', '(clear f0-1f)', '(clear f0-2f)', '(clear f0-3f)', '(clear f0-4f)', '(clear f0-5f)', '(clear f0-6f)', '(clear f0-7f)', '(clear f0-8f)', '(clear f1-0f)', '(clear f1-1f)', '(clear f1-2f)', '(clear f1-3f)', '(clear f1-5f)', '(clear f1-6f)', '(clear f1-7f)', '(clear f1-8f)', '(clear f2-0f)', '(clear f2-1f)', '(clear f2-2f)', '(clear f2-3f)', '(clear f2-4f)', '(clear f2-5f)', '(clear f2-6f)', '(clear f2-7f)', '(clear f2-8f)', '(clear f3-0f)', '(clear f3-1f)', '(clear f3-2f)', '(clear f3-3f)', '(clear f3-4f)', '(clear f3-5f)', '(clear f3-6f)', '(clear f3-7f)', '(clear f3-8f)', '(clear f4-0f)', '(clear f4-2f)', '(clear f4-4f)', '(clear f4-6f)', '(clear f4-7f)', '(clear f4-8f)', '(clear f5-0f)', '(clear f5-1f)', '(clear f5-2f)', '(clear f5-3f)', '(clear f5-4f)', '(clear f5-5f)', '(clear f5-6f)', '(clear f5-7f)', '(clear f5-8f)', '(at-robot f6-0f)', '(clear f6-0f)', '(clear f6-1f)', '(clear f6-3f)', '(clear f6-4f)', '(clear f6-5f)', '(clear f6-6f)', '(clear f6-7f)', '(clear f6-8f)', '(clear f7-0f)', '(clear f7-1f)', '(clear f7-2f)', '(clear f7-3f)', '(clear f7-4f)', '(clear f7-5f)', '(clear f7-6f)', '(clear f7-8f)', '(clear f8-0f)', '(clear f8-1f)', '(clear f8-2f)', '(clear f8-3f)', '(clear f8-5f)', '(clear f8-6f)', '(clear f8-8f)']","['(at box0 f6-3f)', '(at box1 f5-7f)']",9.193788290023804,49.854775190353394,52,"[<Op (move f6-0f f5-0f up)>, <Op (move f5-0f f4-0f up)>, <Op (move f4-0f f3-0f up)>, <Op (move f3-0f f2-0f up)>, <Op (move f2-0f f1-0f up)>, <Op (move f1-0f f0-0f up)>, <Op (move f0-0f f0-1f right)>, <Op (move f0-1f f0-2f right)>, <Op (move f0-2f f0-3f right)>, <Op (move f0-3f f0-4f right)>, <Op (push f0-4f f1-4f f2-4f down box0)>, <Op (push f1-4f f2-4f f3-4f down box0)>, <Op (push f2-4f f3-4f f4-4f down box0)>, <Op (push f3-4f f4-4f f5-4f down box0)>, <Op (push f4-4f f5-4f f6-4f down box0)>, <Op (move f5-4f f5-5f right)>, <Op (move f5-5f f6-5f down)>, <Op (push f6-5f f6-4f f6-3f left box0)>, <Op (move f6-4f f7-4f down)>, <Op (move f7-4f f7-3f left)>, <Op (move f7-3f f7-2f left)>, <Op (push f7-2f f6-2f f5-2f up box1)>, <Op (move f6-2f f6-1f left)>, <Op (move f6-1f f5-1f up)>, <Op (push f5-1f f5-2f f5-3f right box1)>, <Op (push f5-2f f5-3f f5-4f right box1)>, <Op (push f5-3f f6-3f f7-3f down box0)>, <Op (move f6-3f f6-4f right)>, <Op (push f6-4f f5-4f f4-4f up box1)>, <Op (push f5-4f f4-4f f3-4f up box1)>, <Op (push f4-4f f3-4f f2-4f up box1)>, <Op (move f3-4f f3-3f left)>, <Op (move f3-3f f2-3f up)>, <Op (push f2-3f f2-4f f2-5f right box1)>, <Op (push f2-4f f2-5f f2-6f right box1)>, <Op (push f2-5f f2-6f f2-7f right box1)>, <Op (move f2-6f f1-6f up)>, <Op (move f1-6f f1-7f right)>, <Op (push f1-7f f2-7f f3-7f down box1)>, <Op (push f2-7f f3-7f f4-7f down box1)>, <Op (push f3-7f f4-7f f5-7f down box1)>, <Op (move f4-7f f4-6f left)>, <Op (move f4-6f f5-6f down)>, <Op (move f5-6f f5-5f left)>, <Op (move f5-5f f5-4f left)>, <Op (move f5-4f f5-3f left)>, <Op (move f5-3f f5-2f left)>, <Op (move f5-2f f6-2f down)>, <Op (move f6-2f f7-2f down)>, <Op (move f7-2f f8-2f down)>, <Op (move f8-2f f8-3f right)>, <Op (push f8-3f f7-3f f6-3f up box0)>]"
Most Common Landmarks,"['(at box0 f1-4f)', '(at box1 f6-2f)', '(clear f0-0f)', '(clear f0-1f)', '(clear f0-2f)', '(clear f0-3f)', '(clear f0-4f)', '(clear f0-5f)', '(clear f0-6f)', '(clear f0-7f)', '(clear f0-8f)', '(clear f1-0f)', '(clear f1-1f)', '(clear f1-2f)', '(clear f1-3f)', '(clear f1-5f)', '(clear f1-6f)', '(clear f1-7f)', '(clear f1-8f)', '(clear f2-0f)', '(clear f2-1f)', '(clear f2-2f)', '(clear f2-3f)', '(clear f2-4f)', '(clear f2-5f)', '(clear f2-6f)', '(clear f2-7f)', '(clear f2-8f)', '(clear f3-0f)', '(clear f3-1f)', '(clear f3-2f)', '(clear f3-3f)', '(clear f3-4f)', '(clear f3-5f)', '(clear f3-6f)', '(clear f3-7f)', '(clear f3-8f)', '(clear f4-0f)', '(clear f4-2f)', '(clear f4-4f)', '(clear f4-6f)', '(clear f4-7f)', '(clear f4-8f)', '(clear f5-0f)', '(clear f5-1f)', '(clear f5-2f)', '(clear f5-3f)', '(clear f5-4f)', '(clear f5-5f)', '(clear f5-6f)', '(clear f5-7f)', '(clear f5-8f)', '(at-robot f6-0f)', '(clear f6-0f)', '(clear f6-1f)', '(clear f6-3f)', '(clear f6-4f)', '(clear f6-5f)', '(clear f6-6f)', '(clear f6-7f)', '(clear f6-8f)', '(clear f7-0f)', '(clear f7-1f)', '(clear f7-2f)', '(clear f7-3f)', '(clear f7-4f)', '(clear f7-5f)', '(clear f7-6f)', '(clear f7-8f)', '(clear f8-0f)', '(clear f8-1f)', '(clear f8-2f)', '(clear f8-3f)', '(clear f8-5f)', '(clear f8-6f)', '(clear f8-8f)']","['(at box0 f6-3f)', '(at box1 f5-7f)']",21.07337498664856,47.65626788139343,29,"[<Op (move f6-0f f5-0f up)>, <Op (move f5-0f f4-0f up)>, <Op (move f4-0f f3-0f up)>, <Op (move f3-0f f2-0f up)>, <Op (move f2-0f f1-0f up)>, <Op (move f1-0f f0-0f up)>, <Op (move f0-0f f0-1f right)>, <Op (move f0-1f f0-2f right)>, <Op (move f0-2f f0-3f right)>, <Op (move f0-3f f0-4f right)>, <Op (push f0-4f f1-4f f2-4f down box0)>, <Op (push f1-4f f2-4f f3-4f down box0)>, <Op (push f2-4f f3-4f f4-4f down box0)>, <Op (push f3-4f f4-4f f5-4f down box0)>, <Op (push f4-4f f5-4f f6-4f down box0)>, <Op (move f5-4f f5-5f right)>, <Op (move f5-5f f6-5f down)>, <Op (push f6-5f f6-4f f6-3f left box0)>, <Op (move f6-4f f7-4f down)>, <Op (move f7-4f f7-3f left)>, <Op (move f7-3f f7-2f left)>, <Op (push f7-2f f6-2f f5-2f up box1)>, <Op (move f6-2f f6-1f left)>, <Op (move f6-1f f5-1f up)>, <Op (push f5-1f f5-2f f5-3f right box1)>, <Op (push f5-2f f5-3f f5-4f right box1)>, <Op (push f5-3f f5-4f f5-5f right box1)>, <Op (push f5-4f f5-5f f5-6f right box1)>, <Op (push f5-5f f5-6f f5-7f right box1)>]"
