Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(handempty)', '(clear t)', '(ontable t)', '(clear u)', '(ontable u)', '(clear r)', '(ontable r)', '(clear k)', '(ontable k)', '(clear c)', '(ontable c)', '(clear s)', '(on s a)', '(on a h)', '(ontable h)']","['(clear r)', '(ontable h)', '(on r a)', '(on a s)', '(on s h)']",-1,5.859277009963989,10,"[<Op (unstack s a)>, <Op (put-down s)>, <Op (unstack a h)>, <Op (put-down a)>, <Op (pick-up s)>, <Op (stack s h)>, <Op (pick-up a)>, <Op (stack a s)>, <Op (pick-up r)>, <Op (stack r a)>]"
Baseline Approach,"['(handempty)', '(clear t)', '(ontable t)', '(clear u)', '(ontable u)', '(clear r)', '(ontable r)', '(clear k)', '(ontable k)', '(clear c)', '(ontable c)', '(clear s)', '(on s a)', '(on a h)', '(ontable h)']","['(clear r)', '(ontable h)', '(on r a)', '(on a s)', '(on s h)']",2.1457672119140625e-06,5.758849859237671,10,"[<Op (unstack s a)>, <Op (put-down s)>, <Op (unstack a h)>, <Op (put-down a)>, <Op (pick-up s)>, <Op (stack s h)>, <Op (pick-up a)>, <Op (stack a s)>, <Op (pick-up r)>, <Op (stack r a)>]"
Goal to Real Goal Approach,"['(handempty)', '(clear t)', '(ontable t)', '(clear u)', '(ontable u)', '(clear r)', '(ontable r)', '(clear k)', '(ontable k)', '(clear c)', '(ontable c)', '(clear s)', '(on s a)', '(on a h)', '(ontable h)']","['(clear r)', '(ontable h)', '(on r a)', '(on a s)', '(on s h)']",5.602836608886719e-05,15.098513841629028,13,"[<Op (unstack s a)>, <Op (put-down s)>, <Op (unstack a h)>, <Op (put-down a)>, <Op (pick-up s)>, <Op (stack s h)>, <Op (pick-up a)>, <Op (stack a s)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (pick-up t)>, <Op (stack t r)>, <Op (unstack t r)>]"
Shared Landmark Approach,"['(handempty)', '(clear t)', '(ontable t)', '(clear u)', '(ontable u)', '(clear r)', '(ontable r)', '(clear k)', '(ontable k)', '(clear c)', '(ontable c)', '(clear s)', '(on s a)', '(on a h)', '(ontable h)']","['(clear r)', '(ontable h)', '(on r a)', '(on a s)', '(on s h)']",0.3628547191619873,0.14143109321594238,20,"[<Op (pick-up r)>, <Op (put-down r)>, <Op (unstack s a)>, <Op (put-down s)>, <Op (unstack a h)>, <Op (put-down a)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (unstack r a)>, <Op (put-down r)>, <Op (pick-up a)>, <Op (stack a s)>, <Op (unstack a s)>, <Op (put-down a)>, <Op (pick-up s)>, <Op (stack s h)>, <Op (pick-up a)>, <Op (stack a s)>, <Op (pick-up r)>, <Op (stack r a)>]"
Combined Landmarks Approach,"['(handempty)', '(clear t)', '(ontable t)', '(clear u)', '(ontable u)', '(clear r)', '(ontable r)', '(clear k)', '(ontable k)', '(clear c)', '(ontable c)', '(clear s)', '(on s a)', '(on a h)', '(ontable h)']","['(clear r)', '(ontable h)', '(on r a)', '(on a s)', '(on s h)']",0.2805509567260742,0.24042105674743652,24,"[<Op (pick-up r)>, <Op (put-down r)>, <Op (unstack s a)>, <Op (put-down s)>, <Op (unstack a h)>, <Op (put-down a)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (unstack r a)>, <Op (put-down r)>, <Op (pick-up a)>, <Op (stack a s)>, <Op (unstack a s)>, <Op (put-down a)>, <Op (pick-up s)>, <Op (stack s h)>, <Op (pick-up t)>, <Op (stack t r)>, <Op (pick-up a)>, <Op (stack a s)>, <Op (unstack t r)>, <Op (put-down t)>, <Op (pick-up r)>, <Op (stack r a)>]"
Most Common Landmarks,"['(handempty)', '(clear t)', '(ontable t)', '(clear u)', '(ontable u)', '(clear r)', '(ontable r)', '(clear k)', '(ontable k)', '(clear c)', '(ontable c)', '(clear s)', '(on s a)', '(on a h)', '(ontable h)']","['(clear r)', '(ontable h)', '(on r a)', '(on a s)', '(on s h)']",0.3441579341888428,0.012252330780029297,12,"[<Op (unstack s a)>, <Op (put-down s)>, <Op (pick-up r)>, <Op (put-down r)>, <Op (unstack a h)>, <Op (put-down a)>, <Op (pick-up s)>, <Op (stack s h)>, <Op (pick-up a)>, <Op (stack a s)>, <Op (pick-up r)>, <Op (stack r a)>]"
