Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(at apn1 apt2)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos13)', '(at obj12 pos13)', '(at obj13 pos11)', '(at obj21 pos21)', '(at obj22 pos21)', '(at obj23 pos22)']","['(at obj13 pos22)', '(at obj23 pos12)']",-1,0.31250929832458496,18,"[<Op (load-truck obj23 tru2 pos22)>, <Op (load-truck obj13 tru1 pos11)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (unload-truck obj23 tru2 apt2)>, <Op (load-airplane obj23 apn1 apt2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj13 tru1 apt1)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (load-airplane obj13 apn1 apt1)>, <Op (unload-airplane obj23 apn1 apt1)>, <Op (load-truck obj23 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos12 cit1)>, <Op (unload-truck obj23 tru1 pos12)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj13 apn1 apt2)>, <Op (load-truck obj13 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos22 cit2)>, <Op (unload-truck obj13 tru2 pos22)>]"
Baseline Approach,"['(at apn1 apt2)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos13)', '(at obj12 pos13)', '(at obj13 pos11)', '(at obj21 pos21)', '(at obj22 pos21)', '(at obj23 pos22)']","['(at obj13 pos22)', '(at obj23 pos12)']",5.7220458984375e-06,0.2469310760498047,18,"[<Op (load-truck obj23 tru2 pos22)>, <Op (load-truck obj13 tru1 pos11)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (unload-truck obj23 tru2 apt2)>, <Op (load-airplane obj23 apn1 apt2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj13 tru1 apt1)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (load-airplane obj13 apn1 apt1)>, <Op (unload-airplane obj23 apn1 apt1)>, <Op (load-truck obj23 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos12 cit1)>, <Op (unload-truck obj23 tru1 pos12)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj13 apn1 apt2)>, <Op (load-truck obj13 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos22 cit2)>, <Op (unload-truck obj13 tru2 pos22)>]"
Goal to Real Goal Approach,"['(at apn1 apt2)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos13)', '(at obj12 pos13)', '(at obj13 pos11)', '(at obj21 pos21)', '(at obj22 pos21)', '(at obj23 pos22)']","['(at obj13 pos22)', '(at obj23 pos12)']",5.602836608886719e-05,0.28370189666748047,24,"[<Op (load-truck obj23 tru2 pos22)>, <Op (load-truck obj13 tru1 pos11)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (unload-truck obj23 tru2 apt2)>, <Op (load-airplane obj23 apn1 apt2)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj13 tru1 apt1)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (load-airplane obj13 apn1 apt1)>, <Op (unload-airplane obj23 apn1 apt1)>, <Op (load-truck obj23 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (unload-truck obj23 tru1 pos11)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj13 apn1 apt2)>, <Op (load-truck obj13 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos23 cit2)>, <Op (unload-truck obj13 tru2 pos23)>, <Op (load-truck obj23 tru1 pos11)>, <Op (load-truck obj13 tru2 pos23)>, <Op (drive-truck tru2 pos23 pos22 cit2)>, <Op (unload-truck obj13 tru2 pos22)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (unload-truck obj23 tru1 pos12)>]"
Shared Landmark Approach,"['(at apn1 apt2)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos13)', '(at obj12 pos13)', '(at obj13 pos11)', '(at obj21 pos21)', '(at obj22 pos21)', '(at obj23 pos22)']","['(at obj13 pos22)', '(at obj23 pos12)']",0.39635396003723145,0.04616498947143555,24,"[<Op (fly-airplane apn1 apt2 apt1)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru2 apt2 pos22 cit2)>, <Op (load-truck obj23 tru2 pos22)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (load-truck obj13 tru1 pos11)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj13 tru1 apt1)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (unload-truck obj23 tru2 apt2)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj23 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (load-airplane obj13 apn1 apt1)>, <Op (unload-airplane obj23 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj13 apn1 apt2)>, <Op (load-truck obj23 tru1 apt1)>, <Op (load-truck obj13 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos22 cit2)>, <Op (unload-truck obj13 tru2 pos22)>, <Op (drive-truck tru1 apt1 pos12 cit1)>, <Op (unload-truck obj23 tru1 pos12)>]"
Combined Landmarks Approach,"['(at apn1 apt2)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos13)', '(at obj12 pos13)', '(at obj13 pos11)', '(at obj21 pos21)', '(at obj22 pos21)', '(at obj23 pos22)']","['(at obj13 pos22)', '(at obj23 pos12)']",0.7671260833740234,0.045799970626831055,32,"[<Op (fly-airplane apn1 apt2 apt1)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru2 apt2 pos22 cit2)>, <Op (load-truck obj23 tru2 pos22)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (load-truck obj13 tru1 pos11)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj13 tru1 apt1)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (unload-truck obj23 tru2 apt2)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (load-airplane obj23 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (load-airplane obj13 apn1 apt1)>, <Op (unload-airplane obj23 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj13 apn1 apt2)>, <Op (load-truck obj23 tru1 apt1)>, <Op (load-truck obj13 tru2 apt2)>, <Op (drive-truck tru2 apt2 pos23 cit2)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (unload-truck obj23 tru1 pos11)>, <Op (unload-truck obj13 tru2 pos23)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (drive-truck tru1 pos12 pos11 cit1)>, <Op (load-truck obj23 tru1 pos11)>, <Op (drive-truck tru1 pos11 pos12 cit1)>, <Op (unload-truck obj23 tru1 pos12)>, <Op (load-truck obj13 tru2 pos23)>, <Op (drive-truck tru2 pos23 pos22 cit2)>, <Op (unload-truck obj13 tru2 pos22)>]"
Most Common Landmarks,"['(at apn1 apt2)', '(at tru1 pos11)', '(at tru2 pos22)', '(at obj11 pos13)', '(at obj12 pos13)', '(at obj13 pos11)', '(at obj21 pos21)', '(at obj22 pos21)', '(at obj23 pos22)']","['(at obj13 pos22)', '(at obj23 pos12)']",0.7520530223846436,0.027827978134155273,24,"[<Op (fly-airplane apn1 apt2 apt1)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (drive-truck tru1 apt1 pos11 cit1)>, <Op (load-truck obj13 tru1 pos11)>, <Op (drive-truck tru1 pos11 apt1 cit1)>, <Op (unload-truck obj13 tru1 apt1)>, <Op (load-airplane obj13 apn1 apt1)>, <Op (fly-airplane apn1 apt1 apt2)>, <Op (unload-airplane obj13 apn1 apt2)>, <Op (load-truck obj13 tru2 apt2)>, <Op (drive-truck tru1 apt1 pos12 cit1)>, <Op (drive-truck tru2 apt2 pos22 cit2)>, <Op (unload-truck obj13 tru2 pos22)>, <Op (load-truck obj23 tru2 pos22)>, <Op (drive-truck tru2 pos22 apt2 cit2)>, <Op (unload-truck obj23 tru2 apt2)>, <Op (load-airplane obj23 apn1 apt2)>, <Op (fly-airplane apn1 apt2 apt1)>, <Op (unload-airplane obj23 apn1 apt1)>, <Op (drive-truck tru1 pos12 apt1 cit1)>, <Op (load-truck obj23 tru1 apt1)>, <Op (drive-truck tru1 apt1 pos12 cit1)>, <Op (unload-truck obj23 tru1 pos12)>]"
