Approach,Initial,Goal,Time to Order Landmarks,Time to Generate Plan,Path Length,Path
Vanilla Pyperplan,"['(handempty)', '(clear o)', '(ontable o)', '(clear r)', '(on r p)', '(ontable p)', '(clear e)', '(ontable e)', '(clear d)', '(on d a)', '(on a c)', '(ontable c)', '(clear w)', '(ontable w)']","['(clear d)', '(ontable w)', '(on d r)', '(on r a)', '(on a w)']",-1,0.6032140254974365,8,"[<Op (unstack d a)>, <Op (put-down d)>, <Op (unstack a c)>, <Op (stack a w)>, <Op (unstack r p)>, <Op (stack r a)>, <Op (pick-up d)>, <Op (stack d r)>]"
Baseline Approach,"['(handempty)', '(clear o)', '(ontable o)', '(clear r)', '(on r p)', '(ontable p)', '(clear e)', '(ontable e)', '(clear d)', '(on d a)', '(on a c)', '(ontable c)', '(clear w)', '(ontable w)']","['(clear d)', '(ontable w)', '(on d r)', '(on r a)', '(on a w)']",5.245208740234375e-06,0.6012868881225586,8,"[<Op (unstack d a)>, <Op (put-down d)>, <Op (unstack a c)>, <Op (stack a w)>, <Op (unstack r p)>, <Op (stack r a)>, <Op (pick-up d)>, <Op (stack d r)>]"
Goal to Real Goal Approach,"['(handempty)', '(clear o)', '(ontable o)', '(clear r)', '(on r p)', '(ontable p)', '(clear e)', '(ontable e)', '(clear d)', '(on d a)', '(on a c)', '(ontable c)', '(clear w)', '(ontable w)']","['(clear d)', '(ontable w)', '(on d r)', '(on r a)', '(on a w)']",7.104873657226562e-05,0.09922099113464355,8,"[<Op (unstack d a)>, <Op (put-down d)>, <Op (unstack a c)>, <Op (stack a w)>, <Op (unstack r p)>, <Op (stack r a)>, <Op (pick-up d)>, <Op (stack d r)>]"
Shared Landmark Approach,"['(handempty)', '(clear o)', '(ontable o)', '(clear r)', '(on r p)', '(ontable p)', '(clear e)', '(ontable e)', '(clear d)', '(on d a)', '(on a c)', '(ontable c)', '(clear w)', '(ontable w)']","['(clear d)', '(ontable w)', '(on d r)', '(on r a)', '(on a w)']",0.12213683128356934,0.08723211288452148,16,"[<Op (unstack r p)>, <Op (put-down r)>, <Op (unstack d a)>, <Op (put-down d)>, <Op (unstack a c)>, <Op (put-down a)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (unstack r a)>, <Op (put-down r)>, <Op (pick-up a)>, <Op (stack a w)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (pick-up d)>, <Op (stack d r)>]"
Combined Landmarks Approach,"['(handempty)', '(clear o)', '(ontable o)', '(clear r)', '(on r p)', '(ontable p)', '(clear e)', '(ontable e)', '(clear d)', '(on d a)', '(on a c)', '(ontable c)', '(clear w)', '(ontable w)']","['(clear d)', '(ontable w)', '(on d r)', '(on r a)', '(on a w)']",0.02849411964416504,0.3207700252532959,20,"[<Op (unstack r p)>, <Op (put-down r)>, <Op (unstack d a)>, <Op (put-down d)>, <Op (unstack a c)>, <Op (put-down a)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (unstack r a)>, <Op (put-down r)>, <Op (pick-up a)>, <Op (stack a w)>, <Op (pick-up d)>, <Op (stack d r)>, <Op (unstack d r)>, <Op (put-down d)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (pick-up d)>, <Op (stack d r)>]"
Most Common Landmarks,"['(handempty)', '(clear o)', '(ontable o)', '(clear r)', '(on r p)', '(ontable p)', '(clear e)', '(ontable e)', '(clear d)', '(on d a)', '(on a c)', '(ontable c)', '(clear w)', '(ontable w)']","['(clear d)', '(ontable w)', '(on d r)', '(on r a)', '(on a w)']",0.1574409008026123,0.31493306159973145,22,"[<Op (unstack r p)>, <Op (put-down r)>, <Op (unstack d a)>, <Op (put-down d)>, <Op (unstack a c)>, <Op (put-down a)>, <Op (pick-up d)>, <Op (put-down d)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (unstack r a)>, <Op (put-down r)>, <Op (pick-up a)>, <Op (stack a w)>, <Op (pick-up d)>, <Op (stack d r)>, <Op (unstack d r)>, <Op (put-down d)>, <Op (pick-up r)>, <Op (stack r a)>, <Op (pick-up d)>, <Op (stack d r)>]"
